	Uniprot ID	Uniprot Subcellular Location	Gene Ontology (Cellular Component)
335	Q13033	Cytoplasm|Membrane|Peripheral membrane protein	cytoplasm|dendrite|FAR/SIN/STRIPAK complex|Golgi apparatus|neuronal cell body|nucleoplasm|nucleus|plasma membrane|protein-containing complex
336	Q9NRW1	Golgi apparatus membrane|Lipid-anchor|Endoplasmic reticulum-Golgi intermediate compartment|Cytoplasmic vesicle|Colocalizes with BICD1 at vesicular structures that align along microtubules.	cytoplasmic vesicle|cytosol|endomembrane system|endoplasmic reticulum-Golgi intermediate compartment|Golgi apparatus|Golgi membrane|presynapse
337	Q6ZP65	Cytoplasm|Cytoskeleton|Cytoplasm|Cytoskeleton|Microtubule organizing center|Centrosome|Localizes around the centrosome.	centrosome|cytoplasm
338	Q6IQ22	Recycling endosome membrane|Lipid-anchor|Cytoplasmic side|Lysosome membrane|Lipid-anchor|Cytoplasmic side|Golgi apparatus membrane|Cytoplasmic vesicle|Autophagosome	autophagosome|cytosol|endosome|Golgi membrane|lysosomal membrane|lysosome|plasma membrane|recycling endosome membrane|synaptic vesicle|trans-Golgi network transport vesicle
339	P20338	Membrane|Peripheral membrane protein|Cytoplasm|Early endosome membrane|Peripheral membrane protein|Recycling endosome membrane|Peripheral membrane protein|Generally associated with membranes. Cytoplasmic when phosphorylated by CDK1.	cytoplasmic vesicle membrane|early endosome membrane|extracellular exosome|insulin-responsive compartment|perinuclear region of cytoplasm|plasma membrane|postsynaptic recycling endosome|recycling endosome membrane|vesicle
340	P07355	Secreted|Extracellular space|Extracellular matrix|Basement membrane|Melanosome|In the lamina beneath the plasma membrane. Identified by mass spectrometry in melanosome fractions from stage I to stage IV. Translocated from the cytoplasm to the cell surface through a Golgi-independent mechanism.	adherens junction|AnxA2-p11 complex|azurophil granule lumen|basement membrane|basolateral plasma membrane|cell surface|collagen-containing extracellular matrix|cornified envelope|cytoplasm|cytosol|early endosome|endosome|extracellular exosome|extracellular region|extracellular space|late endosome membrane|lipid droplet|lysosomal membrane|melanosome|membrane|midbody|myelin sheath adaxonal region|nuclear matrix|nucleus|PCSK9-AnxA2 complex|plasma membrane|plasma membrane protein complex|RNA polymerase II transcription regulator complex|sarcolemma|Schmidt-Lanterman incisure|vesicle
341	Q9H082	Golgi apparatus membrane|Lipid-anchor|Golgi apparatus|Cis-Golgi network|Under starvation conditions punctate RAB33B-positive structures are often observed in the cytoplasm.	endosome|Golgi apparatus|Golgi lumen|Golgi membrane|presynapse
342	Q92928	Membrane|Lipid-anchor|Cytoplasmic side|Cytoplasm	cytoplasm|endomembrane system|membrane
343	P61018	Cell membrane|Lipid-anchor|Cytoplasmic side|Early endosome membrane|Lipid-anchor|Cytoplasmic side	insulin-responsive compartment|perinuclear region of cytoplasm|plasma membrane|recycling endosome|secretory granule membrane
344	Q6ZR08	Cytoplasm|Cytoskeleton|Cilium axoneme	axonemal dynein complex|microtubule
345	P16615	Endoplasmic reticulum membrane|Multi-pass membrane protein|Sarcoplasmic reticulum membrane|Multi-pass membrane protein|Colocalizes with FLVCR2 at the mitochondrial-ER contact junction.	calcium ion-transporting ATPase complex|endoplasmic reticulum|endoplasmic reticulum membrane|longitudinal sarcoplasmic reticulum|membrane|plasma membrane|platelet dense tubular network membrane|ribbon synapse|sarcoplasmic reticulum|sarcoplasmic reticulum membrane
346	P05089	Cytoplasm|Cytoplasmic granule|Localized in azurophil granules of neutrophils (PubMed:15546957).	azurophil granule lumen|cytoplasm|cytosol|extracellular region|extracellular space|nucleus|specific granule lumen
347	Q96L92	Early endosome membrane|Peripheral membrane protein|Cytoplasm|Cytosol|Localizes to immunological synapse in T-cells. In T-cells, recruited from the cytosol to sorting endosomes by phosphoinositide-3-kinase products.	cytosol|early endosome|early endosome membrane|endosome|glutamatergic synapse|immunological synapse|intracellular membrane-bounded organelle|Schaffer collateral - CA1 synapse
348	Q8WUA7	Not found Uniprot Annotation	
349	Q93084	Nucleus membrane|Multi-pass membrane protein|Endoplasmic reticulum membrane|Multi-pass membrane protein|Sarcoplasmic reticulum membrane|Multi-pass membrane protein	endoplasmic reticulum|endoplasmic reticulum membrane|nuclear membrane|organelle membrane|platelet dense tubular network membrane|sarcoplasmic reticulum|sarcoplasmic reticulum membrane
350	Q9BXF6	Cytoplasm|Recycling endosome membrane|Peripheral membrane protein|Early endosome membrane|Peripheral membrane protein|Golgi apparatus membrane|Peripheral membrane protein|Cytoplasmic vesicle|Secretory vesicle membrane|Peripheral membrane protein|Mitochondrion membrane|Peripheral membrane protein	centriolar satellite|early endosome|early endosome membrane|Golgi apparatus|Golgi membrane|intracellular membrane-bounded organelle|mitochondrial outer membrane|mitochondrion|phagocytic vesicle|recycling endosome|recycling endosome membrane|secretory granule|transport vesicle membrane
351	Q96AX2	Cytoplasmic vesicle|Secretory granules.	azurophil granule membrane|endoplasmic reticulum-Golgi intermediate compartment|endosome|Golgi apparatus|plasma membrane|specific granule membrane
352	P61020	Cell membrane|Lipid-anchor|Cytoplasmic side|Early endosome membrane|Lipid-anchor|Melanosome|Enriched in stage I melanosomes.	early endosome|early endosome membrane|endocytic vesicle|endomembrane system|endosome|extracellular exosome|Golgi apparatus|intracellular membrane-bounded organelle|melanosome|membrane|plasma membrane|secretory granule membrane|synaptic vesicle membrane
353	O95716	Cell membrane|Lipid-anchor|Cytoplasmic side	azurophil granule membrane|cytoplasmic microtubule|endosome|extracellular exosome|plasma membrane|secretory vesicle|synaptic vesicle|zymogen granule
354	P28325	Secreted	cytoplasm|extracellular exosome|extracellular region|extracellular space|vesicle
355	O14983	Endoplasmic reticulum membrane|Multi-pass membrane protein|Sarcoplasmic reticulum membrane|Multi-pass membrane protein	calcium channel complex|endoplasmic reticulum membrane|endoplasmic reticulum-Golgi intermediate compartment|H zone|I band|membrane|mitochondrion|perinuclear region of cytoplasm|platelet dense tubular network membrane|sarcoplasmic reticulum|sarcoplasmic reticulum membrane
356	Q9H0U4	Cytoplasm|Membrane|Lipid-anchor|Cytoplasmic side|Preautophagosomal structure membrane|Lipid-anchor|Cytoplasmic side|Cytoplasm|Perinuclear region|Targeted by REP1 to membranes of specific subcellular compartments including endoplasmic reticulum, Golgi apparatus, and intermediate vesicles between these two compartments (PubMed:11389151). In the GDP-form, colocalizes with GDI in the cytoplasm (PubMed:11389151). Co-localizes with MTMR6 to the endoplasmic reticulum-Golgi intermediate compartment and to the peri-Golgi region (By similarity).	cytosol|endomembrane system|endoplasmic reticulum membrane|endoplasmic reticulum-Golgi intermediate compartment membrane|extracellular exosome|Golgi apparatus|Golgi membrane|perinuclear region of cytoplasm|phagophore assembly site membrane|transport vesicle
357	Q15286	Cell membrane|Lipid-anchor|Cytoplasmic side|Membrane|Clathrin-coated pit|Cytoplasmic vesicle|Clathrin-coated vesicle|Endosome|Melanosome|Present on sorting endosomes and recycling endosome tubules (PubMed:16950109). Tends to be enriched in PIP2-positive cell membrane domains (PubMed:16950109). During mitosis, associated with the plasma membrane and present at the ingressing furrow during early cytokinesis as well as at the intercellular bridge later during cytokinesis (PubMed:16950109). Identified in stage I to stage IV melanosomes (PubMed:17081065).	cell projection membrane|clathrin-coated endocytic vesicle|clathrin-coated endocytic vesicle membrane|clathrin-coated pit|cytosol|endosome membrane|extracellular exosome|intercellular bridge|melanosome|plasma membrane|recycling endosome membrane
358	Q15771	Membrane|Lipid-anchor|Cytoplasmic side|Golgi apparatus|Trans-Golgi network|Cytoplasm|Golgi apparatus	cis-Golgi network|Golgi cisterna|Golgi membrane|Golgi stack|intracellular membrane-bounded organelle|trans-Golgi network
359	P04040	Peroxisome matrix	catalase complex|cytoplasm|cytosol|extracellular exosome|extracellular region|ficolin-1-rich granule lumen|focal adhesion|intracellular membrane-bounded organelle|membrane|mitochondrion|peroxisomal matrix|peroxisomal membrane|peroxisome|protein-containing complex|secretory granule lumen
360	P20340	Golgi apparatus membrane|Lipid-anchor|Cytoplasmic vesicle|Secretory vesicle|Acrosome membrane|Peripheral membrane protein|BICD2 facilitates its targeting to Golgi apparatus membrane.	acrosomal membrane|cytoplasmic vesicle|cytosol|endomembrane system|endoplasmic reticulum membrane|endosome to plasma membrane transport vesicle|extracellular exosome|Golgi apparatus|Golgi membrane|membrane|plasma membrane|secretory granule membrane|trans-Golgi network|trans-Golgi network membrane
361	Q96DA2	Cell membrane|Lipid-anchor|Cytoplasmic side|Cytoplasmic vesicle membrane|Lipid-anchor|Cytoplasmic side|Golgi apparatus|Partial colocalization with markers that cycle from the cell surface to the trans-Golgi network.	cytoplasmic vesicle membrane|Golgi apparatus|neuron projection|plasma membrane|vesicle
362	Q92930	Cell membrane|Lipid-anchor|Cytoplasmic side|Cytoplasmic vesicle|Phagosome|Cytoplasmic vesicle|Phagosome membrane|Lipid-anchor|Cytoplasmic side|Endosome membrane|Recruited to phagosomes containing S.aureus or M.tuberculosis. Colocalized with MICAL1, GRAF1/ARHGAP26 and GRAF2/ARHGAP10 on endosomal tubules (PubMed:32344433).	cell tip|endosome|endosome membrane|extracellular exosome|perinuclear region of cytoplasm|peroxisomal membrane|phagocytic vesicle|phagocytic vesicle membrane|plasma membrane|recycling endosome membrane|synaptic vesicle|trans-Golgi network transport vesicle
363	P15924	Cell junction|Desmosome|Cell membrane|Localizes at the intercalated disk in cardiomyocytes.	adherens junction|basolateral plasma membrane|cornified envelope|cytoplasm|desmosome|extracellular exosome|fascia adherens|ficolin-1-rich granule membrane|intercalated disc|intermediate filament|nucleus|plasma membrane
364	Q9P0W8	Cytoplasm|Cytoskeleton|Cilium axoneme|Cytoplasm|Cytoskeleton|Cilium basal body|Cytoplasm|Cytoskeleton|Cell projection|Cilium|Photoreceptor outer segment|Localizes to the microtubule network.	axoneme|ciliary basal body|cytosol|microtubule cytoskeleton|photoreceptor connecting cilium|photoreceptor distal connecting cilium|rod photoreceptor outer segment
365	Q8NFT2	Endosome membrane|Multi-pass membrane protein|Cell membrane|Multi-pass membrane protein	cytosol|early endosome|endosome|endosome membrane|Golgi membrane|plasma membrane|trans-Golgi network transport vesicle
366	P62714	Cytoplasm|Nucleus|Chromosome|Centromere|Cytoplasm|Cytoskeleton|Spindle pole|In prometaphase cells, but not in anaphase cells, localizes at centromeres. During mitosis, also found at spindle poles.	chromosome, centromeric region|cytosol|nucleus|protein phosphatase type 2A complex|spindle pole
367	Q8WVC0	Nucleus	Cdc73/Paf1 complex|centrosome|fibrillar center|nucleoplasm|nucleus
368	P67775	Cytoplasm|Nucleus|Chromosome|Centromere|Cytoplasm|Cytoskeleton|Spindle pole|In prometaphase cells, but not in anaphase cells, localizes at centromeres (PubMed:16541025). During mitosis, also found at spindle poles (PubMed:16541025). Centromeric localization requires the presence of SGO2 (By similarity).	chromosome, centromeric region|cytosol|extracellular exosome|membrane|membrane raft|microtubule cytoskeleton|mitochondrion|nucleus|plasma membrane|protein phosphatase type 2A complex|spindle pole|synapse
369	Q9NQ66	Nucleus membrane|Cytoplasm|Colocalizes with the adrenergic receptors, ADREN1A and ADREN1B, at the nuclear membrane of cardiac myocytes.	chromatin|cytoplasm|cytosol|extracellular exosome|GABA-ergic synapse|glutamatergic synapse|nuclear membrane|nuclear speck|nucleus|postsynaptic cytosol
370	Q32P51	Nucleus|Cytoplasm	catalytic step 2 spliceosome|cytoplasm
371	Q6UX06	Secreted|Extracellular space|Mitochondrion|Subcellular location is not clearly defined: has been shown to be secreted (PubMed:16566923), but also in the mitochondrion (PubMed:15059901, PubMed:20724538), cytoplasm and plasma membrane (PubMed:20724538) and in the nucleus (PubMed:15059901).	cytosol|extracellular exosome|extracellular region|extracellular space|intercellular bridge|mitochondrion|nucleoplasm|perinuclear region of cytoplasm|plasma membrane|protein-containing complex|specific granule|specific granule lumen|tertiary granule lumen
372	Q9C099	Cytoplasm|Cytoskeleton|Microtubule organizing center|Centrosome|Centriole|Associates with the centrosome throughout the cell cycle and extensively accumulates during the mitotic phase.	centriole|centrosome|cytoplasm
373	Q9H0C2	Mitochondrion inner membrane|Multi-pass membrane protein|Membrane|Multi-pass membrane protein|Cell projection|Cilium|Flagellum membrane|Multi-pass membrane protein|In sperm flagellum this protein is located in the fibrous sheath, a non-mitochondrial region (PubMed:17137571). May localize to non-mitochondrial membranes (PubMed:27641616).	membrane|mitochondrial inner membrane|mitochondrial permeability transition pore complex|mitochondrion|motile cilium|nucleus|plasma membrane
374	O00487	Not found Uniprot Annotation	cytosol|cytosolic proteasome complex|extracellular region|ficolin-1-rich granule lumen|nucleoplasm|nucleus|proteasome accessory complex|proteasome complex|proteasome regulatory particle, lid subcomplex|secretory granule lumen
375	Q9BYE2	Cell membrane|Single-pass type II membrane protein|Secreted|Cytoplasm|The non-phosphorylated, inactive full length protein localizes intracellularly (PubMed:28710277). N-glycosylation and phosphorylation is required for trafficking to the cell surface (PubMed:28710277, PubMed:34562451, PubMed:35796294). Interaction with SPINT1/HAI-1 and SPINT2/HAI-2 facilitate its translocation to the cell surface (PubMed:34562451, PubMed:35796294). Proteolytic cleavage is required for secretion (PubMed:35796294).	blood microparticle|cytoplasm|membrane|plasma membrane
376	P49368	Cytoplasm	cell body|chaperonin-containing T-complex|cytoskeleton|cytosol|extracellular exosome|microtubule|zona pellucida receptor complex
377	P09651	Nucleus|Cytoplasm|Localized in cytoplasmic mRNP granules containing untranslated mRNAs. Shuttles continuously between the nucleus and the cytoplasm along with mRNA. Component of ribonucleosomes (PubMed:17289661).	catalytic step 2 spliceosome|cytoplasm|cytosol|extracellular exosome|membrane|nucleoplasm|nucleus|ribonucleoprotein complex|spliceosomal complex
378	P02769	Secreted	blood microparticle|cytoplasm|extracellular region|protein-containing complex
379	P63017	Cytoplasm|Melanosome|Nucleus|Nucleolus|Cell membrane|Lysosome membrane|Peripheral membrane protein|Cytoplasmic side|Localized in cytoplasmic mRNP granules containing untranslated mRNAs. Translocates rapidly from the cytoplasm to the nuclei, and especially to the nucleoli, upon heat shock.	asymmetric synapse|autophagosome|axon|cell surface|cytoplasm|cytosol|dendrite|dendritic shaft|dendritic spine|extracellular exosome|glutamatergic synapse|glycinergic synapse|intermediate filament|late endosome|late endosome lumen|lysosomal matrix|lysosomal membrane|melanosome|microtubule|myelin sheath|neuron spine|neuronal cell body|nucleolus|nucleus|perikaryon|perinuclear region of cytoplasm|photoreceptor inner segment|photoreceptor ribbon synapse|plasma membrane|postsynapse|postsynaptic cytosol|postsynaptic density|postsynaptic specialization membrane|presynapse|presynaptic cytosol|protein folding chaperone complex|protein-containing complex|Prp19 complex|ribonucleoprotein complex|spliceosomal complex|synaptic vesicle|terminal bouton
380	P17156	Cytoplasm|Cytoskeleton|Spindle|Colocalizes with SHCBP1L at spindle during the meiosis process (PubMed:24557841).	CatSper complex|cell surface|cytoplasm|cytosol|male germ cell nucleus|meiotic spindle|mitochondrion|myelin sheath|nucleoplasm|nucleus|plasma membrane|synaptonemal complex
381	P20029	Endoplasmic reticulum lumen|Melanosome|Cytoplasm|Cell surface|Identified by mass spectrometry in melanosome fractions from stage I to stage IV (By similarity). Localizes to the cell surface in epithelial cells; high levels of free iron promotes cell surface localization (By similarity).	cell surface|COP9 signalosome|cytoplasm|cytosol|dendritic shaft|endoplasmic reticulum|endoplasmic reticulum chaperone complex|endoplasmic reticulum lumen|endoplasmic reticulum membrane|endoplasmic reticulum-Golgi intermediate compartment|extracellular region|melanosome|membrane|midbody|mitochondrion|myelin sheath|neuronal cell body|nucleus|plasma membrane|smooth endoplasmic reticulum
382	P01837	Not found Uniprot Annotation	extracellular region|plasma membrane
383	P16627	Not found Uniprot Annotation	blood microparticle|cell body|COP9 signalosome|cytoplasm|cytosol|mitochondrial matrix|nucleus|plasma membrane|vesicle|zona pellucida receptor complex
384	Q8CGK7	Not found Uniprot Annotation	cytoplasm|heterotrimeric G-protein complex|plasma membrane
385	A8DUK4	Not found Uniprot Annotation	blood microparticle|haptoglobin-hemoglobin complex|hemoglobin complex
386	Q61696	Cytoplasm|Nucleus|Cytoplasm|Cytoskeleton|Microtubule organizing center|Centrosome|Secreted|Localized in cytoplasmic mRNP granules containing untranslated mRNAs.	apical plasma membrane|basolateral plasma membrane|blood microparticle|centrosome|cytoplasm|cytosol|membrane raft|mitochondrion|nuclear speck|nucleus|perinuclear region of cytoplasm|protein-containing complex|vesicle
387	P17879	Cytoplasm|Cytoplasm|Cytoskeleton|Microtubule organizing center|Centrosome|Localized in cytoplasmic mRNP granules containing untranslated mRNAs.	apical plasma membrane|basolateral plasma membrane|blood microparticle|cell body|centrosome|cytoplasm|cytosol|membrane raft|mitochondrial matrix|mitochondrion|nucleus|protein-containing complex|vesicle|zona pellucida receptor complex
388	A0A2R8VHP3	Not found Uniprot Annotation	extracellular space|keratin filament
389	Q6R0H7	Cell membrane|Peripheral membrane protein|Apical cell membrane	apical plasma membrane|COPI-coated Golgi to ER transport vesicle|cytoplasm|cytosol|dendrite|endosome|heterotrimeric G-protein complex|membrane|neuronal cell body|perinuclear region of cytoplasm|plasma membrane|recycling endosome|ruffle
390	Q6IFZ8	Not found Uniprot Annotation	extracellular space|keratin filament
391	P56480	Mitochondrion inner membrane|Peripheral membrane protein|Matrix side	cell surface|membrane raft|mitochondrial inner membrane|mitochondrial nucleoid|mitochondrial proton-transporting ATP synthase complex|mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)|mitochondrion|myelin sheath|plasma membrane|proton-transporting ATP synthase complex, catalytic core F(1)
392	P03995	Cytoplasm|Associated with intermediate filaments.	astrocyte end-foot|astrocyte projection|cell body|cell projection|cytoplasm|cytoplasmic side of lysosomal membrane|cytoskeleton|glial cell projection|intermediate filament|membrane|myelin sheath
393	P12023	Cell membrane|Single-pass type I membrane protein|Membrane|Single-pass type I membrane protein|Perikaryon|Cell projection|Growth cone|Membrane|Clathrin-coated pit|Early endosome|Cytoplasmic vesicle|Golgi apparatus|Trans-Golgi network|Cell surface protein that rapidly becomes internalized via clathrin-coated pits. Only a minor proportion is present at the cell membrane; most of the protein is present in intracellular vesicles. During maturation, the immature APP (N-glycosylated in the endoplasmic reticulum) moves to the Golgi complex where complete maturation occurs (O-glycosylated and sulfated). After alpha-secretase cleavage, soluble APP is released into the extracellular space and the C-terminal is internalized to endosomes and lysosomes. Some APP accumulates in secretory transport vesicles leaving the late Golgi compartment and returns to the cell surface. APP sorts to the basolateral surface in epithelial cells. During neuronal differentiation, the Thr-743 phosphorylated form is located mainly in growth cones, moderately in neurites and sparingly in the cell body. Casein kinase phosphorylation can occur either at the cell surface or within a post-Golgi compartment (By similarity). Associates with GPC1 in perinuclear compartments (PubMed:15677459). Colocalizes with SORL1 in a vesicular pattern in cytoplasm and perinuclear regions (By similarity). Upon neuronal activation, routed into BACE1-positive recycling endosomes via a clathrin -dependent mechanism (PubMed:23931995).	apical part of cell|astrocyte projection|axon|cell surface|cell-cell junction|ciliary rootlet|clathrin-coated pit|COPII-coated ER to Golgi transport vesicle|cytoplasm|cytoplasmic vesicle|dendritic shaft|dendritic spine|early endosome|endoplasmic reticulum|extracellular space|Golgi apparatus|Golgi-associated vesicle|growth cone|growth cone filopodium|growth cone lamellipodium|main axon|membrane|membrane raft|neuromuscular junction|neuron projection|neuronal dense core vesicle|nuclear envelope lumen|perikaryon|perinuclear region of cytoplasm|plasma membrane|presynaptic active zone|receptor complex|recycling endosome|smooth endoplasmic reticulum|spindle midzone|synaptic vesicle
394	P02088	Not found Uniprot Annotation	blood microparticle|haptoglobin-hemoglobin complex|hemoglobin complex|myelin sheath
395	Q02257	Cell junction|Adherens junction|Cell junction|Desmosome|Cytoplasm|Cytoskeleton|Cell membrane|Peripheral membrane protein|Cytoplasm|Cell junction|Nucleus|Cytoplasmic in a soluble and membrane-associated form.	adherens junction|apicolateral plasma membrane|catenin complex|cell-cell junction|cornified envelope|cytoplasm|cytoplasmic side of plasma membrane|cytosol|desmosome|fascia adherens|gamma-catenin-TCF7L2 complex|intermediate filament|lateral plasma membrane|nucleus|plasma membrane|protein-DNA complex|Z disc
396	P10126	Cytoplasm|Nucleus|Nucleus|Nucleolus|Cell membrane|Colocalizes with DLC1 at actin-rich regions in the cell periphery. Translocates together with ZPR1 from the cytoplasm to the nucleus and nucleolus after treatment with mitogens. Localization at the cell membrane depends on EEF1A1 phosphorylation status and the presence of PPP1R16B.	cytoplasm|myelin sheath|nucleolus|nucleus|plasma membrane
397	P62631	Nucleus	cytoplasm|eukaryotic translation elongation factor 1 complex|myelin sheath|neuronal cell body|nucleus|synapse
398	P07901	Nucleus|Cytoplasm|Melanosome|Cell membrane|Mitochondrion	apical plasma membrane|axonal growth cone|basolateral plasma membrane|brush border membrane|cell surface|collagen-containing extracellular matrix|cytoplasm|cytosol|dendritic growth cone|melanosome|mitochondrion|myelin sheath|neuronal cell body|nucleoplasm|nucleus|perinuclear region of cytoplasm|plasma membrane|protein-containing complex|sperm flagellum|sperm mitochondrial sheath|sperm plasma membrane
399	Q9CQN1	Mitochondrion|Mitochondrion inner membrane|Mitochondrion matrix	cell periphery|mitochondrial inner membrane|mitochondrial intermembrane space|mitochondrial matrix|mitochondrion|nucleoplasm
400	P11499	Cytoplasm|Melanosome|Nucleus|Secreted|Cell membrane|Dynein axonemal particle|Translocates with BIRC2 from the nucleus to the cytoplasm during differentiation. Secreted when associated with TGFB1 processed form (LAP).	apical plasma membrane|aryl hydrocarbon receptor complex|axonal growth cone|basolateral plasma membrane|brush border membrane|cell surface|COP9 signalosome|cytoplasm|cytosol|dendritic growth cone|dynein axonemal particle|extracellular region|HSP90-CDC37 chaperone complex|inclusion body|lysosomal membrane|melanosome|mitochondrion|neuronal cell body|nucleus|ooplasm|perinuclear region of cytoplasm|plasma membrane|protein-containing complex|sperm head plasma membrane
401	Q04888	Cytoplasm|Nucleus|Mitochondrion outer membrane|Peripheral membrane protein|Cytoplasmic side	chromatin|cytoplasm|mitochondrial outer membrane|nucleoplasm|nucleus
402	A0A075B5J9	Not found Uniprot Annotation	extracellular space
403	A0A075B5K3	Not found Uniprot Annotation	extracellular space
404	Q8VG96	Cell membrane|Multi-pass membrane protein|Membrane|Multi-pass membrane protein	membrane|plasma membrane
405	P46471	Cytoplasm|Colocalizes with TRIM5 in cytoplasmic bodies.	dendritic spine|P-body|proteasome accessory complex|proteasome regulatory particle, base subcomplex
406	E9Q557	Cell junction|Desmosome|Cell membrane|Localizes at the intercalated disk in cardiomyocytes.	adherens junction|basolateral plasma membrane|cell-cell junction|cornified envelope|cytoplasm|desmosome|fascia adherens|intercalated disc|intermediate filament|plasma membrane
407	Q5XJE5	Nucleus	Cdc73/Paf1 complex|centrosome|fibrillar center|nucleus
408	P25444	Cytoplasm|Nucleus|Nucleolus|Probably localized to nucleolus and cytoplasm in complex with ZNF277.	cytoplasm|cytosol|cytosolic small ribosomal subunit|nucleolus|postsynapse|ribonucleoprotein complex|ribosome|synapse
409	P02070	Not found Uniprot Annotation	blood microparticle|haptoglobin-hemoglobin complex|hemoglobin complex
410	P02104	Not found Uniprot Annotation	blood microparticle|haptoglobin-hemoglobin complex|hemoglobin complex
411	P02089	Not found Uniprot Annotation	blood microparticle|haptoglobin-hemoglobin complex|hemoglobin complex
412	P07724	Secreted	basement membrane|blood microparticle|cytoplasm|endoplasmic reticulum|extracellular exosome|extracellular region|extracellular space|Golgi apparatus|myelin sheath|protein-containing complex
413	Q3UBG2	Cytoplasm	cytoplasm
414	Q80VP2	Cytoplasm|Cytoskeleton|Cilium axoneme|Cytoplasm|Cytoskeleton|Cilium basal body|Cytoplasm|Cytoskeleton|Cell projection|Cilium|Photoreceptor outer segment|Localizes to the microtubule network.	axoneme|ciliary basal body|cytosol|microtubule cytoskeleton|photoreceptor connecting cilium|photoreceptor distal connecting cilium|rod photoreceptor outer segment
415	P01942	Not found Uniprot Annotation	blood microparticle|haptoglobin-hemoglobin complex|hemoglobin complex|myelin sheath
416	Q3U2E2	Nucleus	nucleus
417	Q8R361	Cytoplasm|Recycling endosome membrane|Peripheral membrane protein|Early endosome membrane|Peripheral membrane protein|Golgi apparatus membrane|Peripheral membrane protein|Cytoplasmic vesicle|Secretory vesicle membrane|Peripheral membrane protein|Mitochondrion membrane|Peripheral membrane protein	early endosome|early endosome membrane|Golgi apparatus|Golgi membrane|mitochondrial outer membrane|mitochondrion|phagocytic vesicle|recycling endosome|recycling endosome membrane|secretory granule|transport vesicle membrane
418	Q03265	Mitochondrion inner membrane|Peripheral membrane protein|Matrix side|Cell membrane|Peripheral membrane protein|Extracellular side|Colocalizes with HRG on the cell surface of T-cells.	cell surface|COP9 signalosome|membrane|membrane raft|mitochondrial inner membrane|mitochondrial proton-transporting ATP synthase complex|mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)|mitochondrial proton-transporting ATP synthase, catalytic core|mitochondrion|myelin sheath|plasma membrane|proton-transporting ATP synthase complex, catalytic core F(1)
419	Q3UZZ4	Secreted|Extracellular space|Mitochondrion	extracellular space|mitochondrion
420	Q64518	Endoplasmic reticulum membrane|Multi-pass membrane protein|Sarcoplasmic reticulum membrane|Multi-pass membrane protein	endoplasmic reticulum|sarcoplasmic reticulum membrane
421	O55143	Endoplasmic reticulum membrane|Multi-pass membrane protein|Sarcoplasmic reticulum membrane|Multi-pass membrane protein|Colocalizes with FLVCR2 at the mitochondrial-ER contact junction.	apical ectoplasmic specialization|endoplasmic reticulum|extrinsic component of cytoplasmic side of plasma membrane|membrane|perinuclear region of cytoplasm|plasma membrane bounded cell projection|protein-containing complex|ribbon synapse|sarcoplasmic reticulum|sarcoplasmic reticulum membrane
422	Q8R429	Endoplasmic reticulum membrane|Multi-pass membrane protein|Sarcoplasmic reticulum membrane|Multi-pass membrane protein	endoplasmic reticulum|endoplasmic reticulum membrane|endoplasmic reticulum-Golgi intermediate compartment|H zone|I band|membrane|mitochondrion|perinuclear region of cytoplasm|sarcoplasmic reticulum|sarcoplasmic reticulum membrane
